ï»¿id,clee,nom_estab,nombre_act,per_ocu,nom_vial,cod_postal,entidad,municipio,localidad
9331896,02005621111000441000000000U7,"(H) CONSULTORIO ROSARITO, B.C.N.",Consultorios de medicina general del sector privado,0 a 5 personas,,,BAJA CALIFORNIA,Playas de Rosarito,Playas de Rosarito
7622161,02004621111009891000000000S7,401 AL 404 VIDA NUEVA CLINICA,Consultorios de medicina general del sector privado,0 a 5 personas,PASEO DE LOS HEROES,22320.0,BAJA CALIFORNIA,Tijuana,Tijuana
6930191,02002621113004551000000000U2,ACEVES CENTRO MEDICO,Consultorios de medicina especializada del sector privado,0 a 5 personas,REFORMA,21100.0,BAJA CALIFORNIA,Mexicali,Mexicali
153819,02004621113001121001000000U3,ACNE FACIALES,Consultorios de medicina especializada del sector privado,11 a 30 personas,RIO TIJUANA,22010.0,BAJA CALIFORNIA,Tijuana,Tijuana
121810,02004621111008491000000000U7,ACUPUNTURA Y MEXIBUSTION,Consultorios de medicina general del sector privado,0 a 5 personas,FRANCISCO I. MADERO,22000.0,BAJA CALIFORNIA,Tijuana,Tijuana
6422968,02002621115000021001000000U5,ALBERTA DENTAL,Clínicas de consultorios médicos del sector privado,11 a 30 personas,SEGUNDA,21970.0,BAJA CALIFORNIA,Mexicali,Vicente Guerrero (Algodones)
87459,02002621111002561000000000U7,ALERGIAS Y ASMA,Consultorios de medicina especializada del sector privado,0 a 5 personas,REFORMA,21100.0,BAJA CALIFORNIA,Mexicali,Mexicali
8552114,02004621113008311000000000U3,ALERGOLOGO Y DERMATOLOGO,Consultorios de medicina especializada del sector privado,0 a 5 personas,5 DE MAYO (F),22000.0,BAJA CALIFORNIA,Tijuana,Tijuana
8515811,02004621111009711000000000S7,ALMACEN DE MEDICINA DE LA COSTA,Consultorios de medicina general del sector privado,0 a 5 personas,FRAY SERVANDO TERESA DE MIER,22320.0,BAJA CALIFORNIA,Tijuana,Tijuana
83784,02002621113002981000000000U3,ALPHA Y GINECOLOGIA,Consultorios de medicina especializada del sector privado,0 a 5 personas,JOSE ANTONIO TORRES,21290.0,BAJA CALIFORNIA,Mexicali,Mexicali
8514583,02004621113007261000000000U1,ANESTEIOLOGO Y ALGODOLOGO,Consultorios de medicina especializada del sector privado,0 a 5 personas,GENERAL RODOLFO SANCHEZ TABOADA,22010.0,BAJA CALIFORNIA,Tijuana,Tijuana
8567653,02004621113007441000000000U9,ANESTESIOLOGIA Y DOLOR,Consultorios de medicina especializada del sector privado,0 a 5 personas,DAVID ALFARO SIQUEIROS,22010.0,BAJA CALIFORNIA,Tijuana,Tijuana
59096,02002621113000121000000000U8,ANGIOLOGO DOCTOR JOSE JOAQUIN CARRILLO GALLARDO,Consultorios de medicina especializada del sector privado,0 a 5 personas,CARPINTEROS,21010.0,BAJA CALIFORNIA,Mexicali,Mexicali
60179,02003621113000081001000000U2,ANSER MEDICINA INTEGRAL,Clínicas de consultorios médicos del sector privado,6 a 10 personas,ALBERTO ALDRETE,21450.0,BAJA CALIFORNIA,Tecate,Tecate
119065,02004621111008171000000000U5,ASESORIA EN NUTRICION Y CONTROL DE PESO,Consultorios de medicina general del sector privado,0 a 5 personas,MISION DE SAN DIEGO,22010.0,BAJA CALIFORNIA,Tijuana,Tijuana
87507,02002621111004701000000000U7,ASESORÃA MÃDICA RADIOLÃGICA Y FARMACEUTICA,Consultorios de medicina general del sector privado,0 a 5 personas,FRANCISCO I. MADERO,21100.0,BAJA CALIFORNIA,Mexicali,Mexicali
