ï»¿id,clee,nom_estab,nombre_act,per_ocu,nom_vial,cod_postal,entidad,municipio,localidad
8334704,03003621111001651000000000U4,AESTHETICS,Consultorios de medicina general del sector privado,0 a 5 personas,IGNACIO MANUEL ALTAMIRANO,23000.0,BAJA CALIFORNIA SUR,La Paz,La Paz
8334780,03003621113002001000000000U7,ALERGOLOGO,Consultorios de medicina especializada del sector privado,0 a 5 personas,GENERAL FELIX ORTEGA,23000.0,BAJA CALIFORNIA SUR,La Paz,La Paz
172672,03003621111000931000000000U1,ANGIOLOGIA Y CIRUGIA VASCULAR,Consultorios de medicina general del sector privado,0 a 5 personas,AVENIDA DEL PEZ VELA,23094.0,BAJA CALIFORNIA SUR,La Paz,La Paz
164087,03003622112000117011000000U4,ATENCION AL DERECHO HABIENTE,Consultorios de medicina general del sector público,11 a 30 personas,NICOLAS BRAVO,23040.0,BAJA CALIFORNIA SUR,La Paz,La Paz
182417,03008621113000741000000000U9,BAJA FEM,Consultorios de medicina general del sector privado,0 a 5 personas,TECNOLOGICO DE LOS CABOS,23445.0,BAJA CALIFORNIA SUR,Los Cabos,San JosÃ© del Cabo
6916742,03003621411000011000000000U6,BCU BANCO DE CORDON UMBILICAL,Centros de planificación familiar del sector privado,0 a 5 personas,IGNACIO RAMIREZ,23000.0,BAJA CALIFORNIA SUR,La Paz,La Paz
6916990,03001621112000081000000000U7,BIENESTAR SOCIAL,Consultorios de medicina general del sector público,0 a 5 personas,DANIEL LOPEZ NORIEGA,23676.0,BAJA CALIFORNIA SUR,ComondÃº,Ciudad ConstituciÃ³n
7815701,03003621111001661000000000U3,BIO CLINICA DE ATENCION FAMILIAR,Consultorios de medicina general del sector privado,0 a 5 personas,MANUEL ENCINAS,23040.0,BAJA CALIFORNIA SUR,La Paz,La Paz
9253184,03008621411000021000000000U4,BIOGENIA,Centros de planificación familiar del sector privado,0 a 5 personas,IGNACIO ZARAGOZA,23400.0,BAJA CALIFORNIA SUR,Los Cabos,San JosÃ© del Cabo
178684,03008621111000331000000000U3,CABO MEDICAL CARE,Consultorios de medicina general del sector privado,0 a 5 personas,MELCHOR OCAMPO,23450.0,BAJA CALIFORNIA SUR,Los Cabos,Cabo San Lucas
8211122,03008621115000032000000000U8,CALIDAD DE VIDA MEDICINA REGENERATIVA FUNCIONAL Y ESTETICA,Clínicas de consultorios médicos del sector privado,6 a 10 personas,NINGUNO,23400.0,BAJA CALIFORNIA SUR,Los Cabos,San JosÃ© del Cabo
