ï»¿id,clee,nom_estab,nombre_act,per_ocu,nom_vial,cod_postal,entidad,municipio,localidad
9331897,07074621111000171000000000U1,"(H) CONSULTORIO REFORMA, CHIS.",Consultorios de medicina general del sector privado,0 a 5 personas,,,CHIAPAS,Reforma,Reforma
9331898,07101621111004031000000000U4,"(H) CONSULTORIO TUXTLA GUTIERREZ, CHIS.",Consultorios de medicina general del sector privado,0 a 5 personas,,,CHIAPAS,Tuxtla GutiÃ©rrez,Tuxtla GutiÃ©rrez
7092477,07078621111000982000000000U2,ACACIAS MEDICAL CENTER,Consultorios de medicina general del sector privado,6 a 10 personas,CRESCENCIO ROSAS,29250.0,CHIAPAS,San CristÃ³bal de las Casas,San CristÃ³bal de las Casas
522761,07101621398000531010000000U0,"ACUNEDIC, ACUPUNTURA MEDICA",Consultorios de medicina general del sector privado,0 a 5 personas,MONSENI,29070.0,CHIAPAS,Tuxtla GutiÃ©rrez,Tuxtla GutiÃ©rrez
9114119,07101621115000131000000000U7,ADMINISTRACION CLINICA NUMEDICS,Clínicas de consultorios médicos del sector privado,0 a 5 personas,DECIMA CUARTA PONIENTE,29030.0,CHIAPAS,Tuxtla GutiÃ©rrez,Tuxtla GutiÃ©rrez
7229918,07101621113004011000000000U2,ALERGIA E INMUNOLOGIA CLINICA PEDIATRIA,Consultorios de medicina especializada del sector privado,0 a 5 personas,DECIMA SEXTA PONIENTE NORTE,29030.0,CHIAPAS,Tuxtla GutiÃ©rrez,Tuxtla GutiÃ©rrez
8266493,07101621113004991000000000U5,ALERGIA Y PEDIATRIA DE CHIAPAS,Consultorios de medicina especializada del sector privado,0 a 5 personas,TERCERA NORTE PONIENTE,29030.0,CHIAPAS,Tuxtla GutiÃ©rrez,Tuxtla GutiÃ©rrez
418859,07101621113002441000000000U3,ALLERGYKIDS,Consultorios de medicina especializada del sector privado,0 a 5 personas,CEDRO,29030.0,CHIAPAS,Tuxtla GutiÃ©rrez,Tuxtla GutiÃ©rrez
389830,07101621111001702000000000S3,ATENCION CONTINUA DE PRIMER NIVEL SANATORIO MUÃOA,Consultorios de medicina general del sector privado,6 a 10 personas,PRIMERA SUR ORIENTE,29066.0,CHIAPAS,Tuxtla GutiÃ©rrez,Tuxtla GutiÃ©rrez
418915,07101621341000281010000000U2,AUDIOLOGIA - FONIATRIA - OTONEUROGIA Y COMUNICACION.,Consultorios de medicina especializada del sector privado,0 a 5 personas,DECIMA SEXTA PONIENTE NORTE,29030.0,CHIAPAS,Tuxtla GutiÃ©rrez,Tuxtla GutiÃ©rrez
6913837,07065621111000361000000000S6,BODEGA,Consultorios de medicina general del sector privado,0 a 5 personas,QUINTA NORTE PONIENTE (DR.MANUEL VELASCO SUAREZ),29960.0,CHIAPAS,Palenque,Palenque
8571965,07106621115000011000000000U0,BODEGA ALMACEN,Clínicas de consultorios médicos del sector privado,0 a 5 personas,NINGUNO,30220.0,CHIAPAS,Venustiano Carranza,Ricardo Flores MagÃ³n
367475,07019621111000441000000000S3,BODEGA DEL CONSULTORIO DEL DOCTOR ARMANDO CORDERO TOVAR,Consultorios de medicina general del sector privado,0 a 5 personas,CUARTA NORTE PONIENTE,30019.0,CHIAPAS,ComitÃ¡n de DomÃ­nguez,ComitÃ¡n de DomÃ­nguez
521857,07089541120000141010048289S0,BODEGA DEL INSTITUTO DE MICROCIRUGIA DE CHIAPAS,Consultorios de medicina especializada del sector privado,0 a 5 personas,CENTRAL SUR,30700.0,CHIAPAS,Tapachula,Tapachula de CÃ³rdova y OrdÃ³Ã±ez
8021465,07101621112000161000000000U1,BODEGA DEL SEGURO POPULAR,Consultorios de medicina general del sector público,0 a 5 personas,NOVENA SUR PONIENTE,29060.0,CHIAPAS,Tuxtla GutiÃ©rrez,Tuxtla GutiÃ©rrez
8054932,07009621111000231000000000U9,BOTICA EL DOCTOR,Consultorios de medicina general del sector privado,0 a 5 personas,SEPTIMA PONIENTE,30450.0,CHIAPAS,Arriaga,Arriaga
8615994,07101621115000052000000000U5,BTC CIINICAS,Clínicas de consultorios médicos del sector privado,6 a 10 personas,DECIMA SEXTA PONIENTE NORTE,29030.0,CHIAPAS,Tuxtla GutiÃ©rrez,Tuxtla GutiÃ©rrez
382352,07044621111000061000000000U7,C0NSULTORIO MEDICO RUIZ-SANTIZO,Consultorios de medicina general del sector privado,0 a 5 personas,CENTRAL PONIENTE,29340.0,CHIAPAS,Ixtapa,Ixtapa
7534862,07046621111000111000000000U5,C0NSULTORIO MEDICO SIN NOMBRE,Consultorios de medicina general del sector privado,0 a 5 personas,LOS FRESNOS,30430.0,CHIAPAS,Jiquipilas,Jiquipilas
459060,07101621111000401000000000U3,CAMBIC MEDICA,Consultorios de medicina general del sector privado,0 a 5 personas,NOVENA NORTE PONIENTE,29037.0,CHIAPAS,Tuxtla GutiÃ©rrez,Tuxtla GutiÃ©rrez
7091873,07078621113000811000000000U9,CAME CENTRO DE ATENCION MEDICA ESPECIALIZADOS,Consultorios de medicina general del sector privado,0 a 5 personas,GUADALUPE VICTORIA,29240.0,CHIAPAS,San CristÃ³bal de las Casas,San CristÃ³bal de las Casas
6194335,07078621113000591000000000U7,CARDILOGIA-MEDICINA DE URGENCIAS,Consultorios de medicina especializada del sector privado,0 a 5 personas,BERNAL DIAZ DEL CASTILLO,29230.0,CHIAPAS,San CristÃ³bal de las Casas,San CristÃ³bal de las Casas
