ï»¿id,clee,nom_estab,nombre_act,per_ocu,nom_vial,cod_postal,entidad,municipio,localidad
9331920,08019621111004021000000000U8,"(H) CONSULTORIO CHIHUAHUA, CHIH.",Consultorios de medicina general del sector privado,0 a 5 personas,,,CHIHUAHUA,Chihuahua,Chihuahua
7923456,08002621113000021000000000U4,ALEBRIJES CENTRO PEDIATRICO,Consultorios de medicina especializada del sector privado,0 a 5 personas,ARTURO NORTE,32910.0,CHIHUAHUA,Aldama,Juan Aldama
596653,08037621113004681001000000U7,ALFAMEDICA,Consultorios de medicina especializada del sector privado,6 a 10 personas,SIMON BOLIVAR,32300.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
7794649,08019621113006031000000000U1,ALIVIA CLINICA,Consultorios de medicina especializada del sector privado,0 a 5 personas,REPUBLICA DE URUGUAY,31213.0,CHIHUAHUA,Chihuahua,Chihuahua
609566,08019621113003891000000000S1,ALVARTIS PHARMA,Consultorios de medicina especializada del sector privado,0 a 5 personas,PASCUAL OROZCO,31200.0,CHIHUAHUA,Chihuahua,Chihuahua
8978897,08037621113007051000000000U0,ANESTESIOLOGO SIN NOMBRE,Consultorios de medicina especializada del sector privado,0 a 5 personas,ANTONIO BERMUDEZ,32618.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
7237307,08019621111003693000000000U5,ANGELES DE BONDAD,Consultorios de medicina general del sector privado,11 a 30 personas,SIERRA NEVADA,31217.0,CHIHUAHUA,Chihuahua,Chihuahua
541401,08019621111003171000000000U2,ÃNGELES DE BONDAD AC,Consultorios de medicina general del sector privado,0 a 5 personas,LOS ARCOS,31137.0,CHIHUAHUA,Chihuahua,Chihuahua
596466,08037621113003991000000000U1,ANSELMO DOMINGUEZ CHICAS UROLOGIA Y CIRUGIA PEDIATRICAS,Consultorios de medicina especializada del sector privado,0 a 5 personas,DE LAS AMERICAS,32300.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
608887,08037621111003571000000000U5,APANICAL,Consultorios de medicina general del sector privado,0 a 5 personas,EJERCITO NACIONAL,32607.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
596495,08037813230000272000000000U9,ARIS VISION,Consultorios de medicina especializada del sector privado,11 a 30 personas,ABRAHAM LINCOLN,32310.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
545553,08037621111003472001000000U6,ASOCIACION CIVIL LINCE HUMANITARIO,Consultorios de medicina general del sector privado,0 a 5 personas,ISLA CORCEGA,32210.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
593214,08037621113004203001000000U0,ASOCIACION DE APOYO A LA SALUD DE CIUDAD JUAREZ,Consultorios de medicina especializada del sector privado,31 a 50 personas,ARROYO DE LAS VIBORAS,32100.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
549256,08037621111002841000000000U3,ASOCIACION DE MEDICOS ESPECIALISTAS DE CIUDAD JUAREZ,Consultorios de medicina general del sector privado,0 a 5 personas,ADOLFO LOPEZ MATEOS,32350.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
601902,08037621113004453000000000U1,ASOCIACION PROTECTORA DE NIÃOS CON CANCER DE CIUDAD JUAREZ,Consultorios de medicina especializada del sector privado,11 a 30 personas,CAMINO VIEJO A SAN LORENZO,32417.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
606922,08021621111000151000000000U3,ATENCION MEDICA AL ADULTO MAYOR,Consultorios de medicina general del sector privado,0 a 5 personas,16 NORTE,33030.0,CHIHUAHUA,Delicias,Delicias
8543358,08019621111003891000000000U5,ATENCION PEDIATRICA INTEGRAL,Consultorios de medicina general del sector privado,0 a 5 personas,OCEANO PACIFICO,31030.0,CHIHUAHUA,Chihuahua,Chihuahua
596465,08037621113000831000000000U2,AURORA DE LA PAZ OROZCO GINECOLOGIA Y OBSTETRICIA,Consultorios de medicina especializada del sector privado,0 a 5 personas,DE LAS AMERICAS,32300.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
7922137,08019621113006191000000000U3,AV CONSULTORIOS,Consultorios de medicina especializada del sector privado,0 a 5 personas,JOSE MARIA MORELOS Y PAVON,31000.0,CHIHUAHUA,Chihuahua,Chihuahua
7922136,08019621113006181000000000U4,AV CONSULTORIOS,Consultorios de medicina especializada del sector privado,0 a 5 personas,JOSE MARIA MORELOS Y PAVON,31000.0,CHIHUAHUA,Chihuahua,Chihuahua
9045598,08019621113008241000000000U4,AV CONSULTORIOS,Consultorios de medicina especializada del sector privado,0 a 5 personas,JOSE MARIA MORELOS Y PAVON,31000.0,CHIHUAHUA,Chihuahua,Chihuahua
8158039,08019621113005781000000000U2,AV CONSULTORIOS,Consultorios de medicina especializada del sector privado,0 a 5 personas,JOSE MARIA MORELOS Y PAVON,31000.0,CHIHUAHUA,Chihuahua,Chihuahua
8158037,08019621113005751000000000U5,AV CONSULTORIOS,Consultorios de medicina especializada del sector privado,0 a 5 personas,JOSE MARIA MORELOS Y PAVON,31000.0,CHIHUAHUA,Chihuahua,Chihuahua
8158040,08019621113005791000000000U1,AV CONSULTORIOS,Consultorios de medicina especializada del sector privado,0 a 5 personas,JOSE MARIA MORELOS Y PAVON,31000.0,CHIHUAHUA,Chihuahua,Chihuahua
8158036,08019621113005741000000000U6,AV CONSULTORIOS,Consultorios de medicina especializada del sector privado,0 a 5 personas,JOSE MARIA MORELOS Y PAVON,31000.0,CHIHUAHUA,Chihuahua,Chihuahua
9369184,08019621111004071000000000U3,BE OK CLINICA Y SPA,Consultorios de medicina general del sector privado,0 a 5 personas,MIRADOR,31250.0,CHIHUAHUA,Chihuahua,Chihuahua
8655081,08037621111004661000000000U3,BIOCLINIC,Consultorios de medicina general del sector privado,0 a 5 personas,RANCHO AGUA CALIENTE,32610.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
551577,08037621111003521000000000U0,BIOMAGNETISMO,Consultorios de medicina general del sector privado,0 a 5 personas,MONTEBELLO,32000.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
9061456,08019621111003971000000000U5,BIOXIGEN,Consultorios de medicina general del sector privado,0 a 5 personas,EUGENIO RAMIREZ CALDERON,31203.0,CHIHUAHUA,Chihuahua,Chihuahua
526523,08036621113000041000000000U0,C0NSULTORIO GINECOLOGICO,Consultorios de medicina especializada del sector privado,0 a 5 personas,INDEPENDENCIA,33980.0,CHIHUAHUA,JimÃ©nez,JosÃ© Mariano JimÃ©nez
541512,08017621111000361000000000U6,C0NSULTORIO MEDICO,Consultorios de medicina general del sector privado,0 a 5 personas,NOVENA,31500.0,CHIHUAHUA,CuauhtÃ©moc,CuauhtÃ©moc
556933,08037621116000026000000000U2,CAAPS AGUILAS DE ZARAGOZA,Clínicas de consultorios médicos del sector público,51 a 100 personas,TEZOZOMOC,32599.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
8303193,08032621115000034000000000S9,CAM LABORATORIO Y ESPECIALIDADES,Clínicas de consultorios médicos del sector privado,31 a 50 personas,LIBERTAD,33800.0,CHIHUAHUA,Hidalgo del Parral,Hidalgo del Parral
580032,08017621113000561000000000U7,CARDIOLOGIA,Consultorios de medicina especializada del sector privado,0 a 5 personas,COAHUILA,31550.0,CHIHUAHUA,CuauhtÃ©moc,CuauhtÃ©moc
8964841,08037621113006881000000000U1,CARDIOLOGIA SIN NOMBRE,Consultorios de medicina especializada del sector privado,0 a 5 personas,ANTONIO BERMUDEZ,32618.0,CHIHUAHUA,JuÃ¡rez,JuÃ¡rez
603890,08021621113000731000000000U8,CARDIOLOGO DR PEDRO RENDON,Consultorios de medicina especializada del sector privado,0 a 5 personas,RIO FLORIDO,33000.0,CHIHUAHUA,Delicias,Delicias
