ï»¿id,clee,nom_estab,nombre_act,per_ocu,nom_vial,cod_postal,entidad,municipio,localidad
8404127,20067621115000071000000000U1,ADMINISTRACION NARANJOS CONSULTORIOS,Clínicas de consultorios médicos del sector privado,0 a 5 personas,FUERZA AEREA MEXICANA,68050.0,OAXACA,Oaxaca de JuÃ¡rez,Oaxaca de JuÃ¡rez
7685019,20067621111004211000000000U8,ALFA MEDIC,Consultorios de medicina general del sector privado,0 a 5 personas,JUVENTINO ROSAS,68140.0,OAXACA,Oaxaca de JuÃ¡rez,Oaxaca de JuÃ¡rez
8887790,20006621115000012000000000U3,ALFA Y OMEGA,Clínicas de consultorios médicos del sector privado,6 a 10 personas,ALFONSO LOPEZ ARENAS,69600.0,OAXACA,AsunciÃ³n NochixtlÃ¡n,AsunciÃ³n NochixtlÃ¡n
8404950,20067621111004071000000000U6,ANGELES MEDICINA INTEGRAL,Consultorios de medicina general del sector privado,0 a 5 personas,MARIANO ABASOLO,68000.0,OAXACA,Oaxaca de JuÃ¡rez,Oaxaca de JuÃ¡rez
7694898,20067621111004511000000000U1,APLICACION DE INYECCIONES CON RECETA SIN NOMBRE,Consultorios de medicina general del sector privado,0 a 5 personas,16 DE SEPTIEMBRE,68272.0,OAXACA,Oaxaca de JuÃ¡rez,Oaxaca de JuÃ¡rez
8467799,20043621112000074000000000U3,AREA DE VACUNACION,Consultorios de medicina general del sector público,31 a 50 personas,SEGUNDA,70050.0,OAXACA,Heroica Ciudad de JuchitÃ¡n de Zaragoza,Heroica Ciudad de JuchitÃ¡n de Zaragoza
3200281,20067931610000977001000000U4,ATENCION MEDICA DE LOS SERVICIOS DE SALUD DE OAXACA SECRETARIA DE SALUD ESTATAL,Clínicas de consultorios médicos del sector público,101 a 250 personas,MIGUEL CABRERA,68000.0,OAXACA,Oaxaca de JuÃ¡rez,Oaxaca de JuÃ¡rez
3238722,20039621111000011000000000U5,ATENCION MEDICA Y PSICOLOGICA,Consultorios de medicina general del sector privado,0 a 5 personas,INDIO DE NUYOO,69005.0,OAXACA,Heroica Ciudad de Huajuapan de LeÃ³n,Heroica Ciudad de Huajuapan de LeÃ³n
7686045,20394621116000011000000000U3,BODEGA DE LA UNIDAD MEDICA RURAL 121 SANTA MARIA ALOTEPEC,Clínicas de consultorios médicos del sector público,0 a 5 personas,NINGUNO,70270.0,OAXACA,Santa MarÃ­a Alotepec,Santa MarÃ­a Alotepec
8393371,20390621112000042000000000U5,BODEGA DE LOS SERVICIOS DE SALUD DE OAXACA,Consultorios de medicina general del sector público,6 a 10 personas,PROLONGACION DE EUCALIPTOS,71245.0,OAXACA,Santa LucÃ­a del Camino,Santa LucÃ­a del Camino
8111180,20390621111000511000047328S1,BODEGA SIN NOMBRE,Consultorios de medicina general del sector privado,0 a 5 personas,ALMENDROS,71245.0,OAXACA,Santa LucÃ­a del Camino,Santa LucÃ­a del Camino
8642091,20059621113000051000000000U5,CARDIOLOGO CLINICA HOSPITAL SAN JOSE,Consultorios de medicina especializada del sector privado,0 a 5 personas,16 DE SEPTIEMBRE,70800.0,OAXACA,MiahuatlÃ¡n de Porfirio DÃ­az,MiahuatlÃ¡n de Porfirio DÃ­az
6498868,20401621112000031000000000U3,CASA  DE SALUD LA NUEVA  ESPERANZA,Consultorios de medicina general del sector público,0 a 5 personas,LOCALIDAD 800,70934.0,OAXACA,Santa MarÃ­a Colotepec,La Nueva Esperanza
3093276,20469621112000012000000000U0,CASA DE LA MUJER SANTIAGO JUXTLAHUACA,Consultorios de medicina general del sector público,6 a 10 personas,MELCHOR OCAMPO,69700.0,OAXACA,Santiago Juxtlahuaca,Santiago Juxtlahuaca
6472707,20012621112000031000000000U8,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,LOCALIDAD 800,70950.0,OAXACA,Candelaria Loxicha,Cerro Perico
3240185,20215813230000012000000000U5,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,GUILLERMO PRIETO,69675.0,OAXACA,San Juan Sayultepec,San Juan Sayultepec
6471447,20266622112000031010000000U9,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,LOCALIDAD 800,70990.0,OAXACA,San Miguel del Puerto,Cafetal Camila
3089047,20140622112000022010000000U5,CASA DE SALUD,Clínicas de consultorios médicos del sector público,6 a 10 personas,AQUILES SERDAN,69685.0,OAXACA,San Francisco ChindÃºa,San Francisco ChindÃºa
6472040,20365621112000021000000000U1,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,NINGUNO,68670.0,OAXACA,Santa Catarina Lachatao,La NeverÃ­a
3070987,20430621112000017000000000U1,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,UNION,69880.0,OAXACA,Santa MarÃ­a Tataltepec,Santa MarÃ­a Tataltepec
3157337,20427621112000011000000000U0,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,NINGUNO,70370.0,OAXACA,Santa MarÃ­a Petapa,RincÃ³n Viejo
3070823,20408931810000031011000000U2,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,NINGUNO,69827.0,OAXACA,Santa MarÃ­a del Rosario,Santa MarÃ­a del Rosario
3148615,20516621112000011000000000U0,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,EMILIANO ZAPATA,71395.0,OAXACA,Santo Domingo Teojomulco,Santo Domingo Teojomulco
6498579,20318621112000061000000000U6,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,CONGRESO,70839.0,OAXACA,San Pedro Mixtepec -Dto. 22 -,Colonia Independencia
6498528,20012622112000151010000000U3,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOCALIDAD 800,70950.0,OAXACA,Candelaria Loxicha,La Guadalupe
6496223,20012622112000171010000000U1,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOCALIDAD 800,70950.0,OAXACA,Candelaria Loxicha,El Trapiche
7962585,20520621116000011000000000U3,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,NINGUNO,69290.0,OAXACA,Santo Domingo TonalÃ¡,Santo Domingo TonalÃ¡
3178112,20536813230000011000000000U6,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,NORTE,69585.0,OAXACA,San Vicente NuÃ±Ãº,San Vicente NuÃ±Ãº
3064544,20348621112000011000000000U7,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,NINGUNO,69740.0,OAXACA,San SebastiÃ¡n Tecomaxtlahuaca,San SebastiÃ¡n Tecomaxtlahuaca
7968925,20427621116000011000000000U1,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,HIDALGO,70270.0,OAXACA,Santa MarÃ­a Petapa,RincÃ³n Viejo
6485821,20439621112000281000000000U4,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,NINGUNO,71944.0,OAXACA,Santa MarÃ­a Tonameca,Vainilla Tonameca
6475810,20334622112000091010000000U9,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,MANUEL GALINDO,71847.0,OAXACA,Villa de Tututepec de Melchor Ocampo,San Isidro Llano Grande
3062217,20079621492000011000000000U5,CASA DE SALUD,Consultorios de medicina general del sector público,6 a 10 personas,FRANCISCO I. MADERO NORTE,70630.0,OAXACA,Salina Cruz,Salina Cruz
7448997,20012621116000011000000000U1,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,NINGUNO,70950.0,OAXACA,Candelaria Loxicha,San Lucas
6474773,20334622112000111011000000U5,CASA DE SALUD,Clínicas de consultorios médicos del sector público,6 a 10 personas,29 DE SEPTIEMBRE,71830.0,OAXACA,Villa de Tututepec de Melchor Ocampo,Agua Zarca
8961974,20401621116000022000000000U3,CASA DE SALUD,Clínicas de consultorios médicos del sector público,6 a 10 personas,AV.RIO A LA BOMBA,70934.0,OAXACA,Santa MarÃ­a Colotepec,La Quebradora (La Bomba)
6474123,20071622112000061010000000U0,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOCALIDAD 800,70960.0,OAXACA,Pluma Hidalgo,La Huerta
7529816,20397621116000021000000000U5,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,PANORAMICA,69800.0,OAXACA,Heroica Ciudad de Tlaxiaco,Heroica Ciudad de Tlaxiaco
6486387,20071622112000071010000000U9,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOCALIDAD 800,70960.0,OAXACA,Pluma Hidalgo,La Encinada
6486923,20012622112000131010000000U5,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOCALIDAD 800,70950.0,OAXACA,Candelaria Loxicha,El Paraje
6487196,20401622112000041010000000U1,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,LOCALIDAD 800,70934.0,OAXACA,Santa MarÃ­a Colotepec,TotolÃ¡pam
3196302,20476621399000011000000000U0,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,HUAJUAPAM-TEHUACAN,69050.0,OAXACA,Santiago Miltepec,Santiago Miltepec
7988700,20334621116000051000000000U5,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOCALIDAD 800,71800.0,OAXACA,Villa de Tututepec de Melchor Ocampo,El Corral
9014052,20401621112000181000000000U6,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,NINGUNO,70934.0,OAXACA,Santa MarÃ­a Colotepec,Arroyo del Zapote
3242850,20567622112000011010000000U2,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,SANTO DOMINGO,69120.0,OAXACA,ZapotitlÃ¡n Lagunas,ZapotitlÃ¡n Lagunas
6493550,20202621112000071000000000U1,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,LOCALIDAD 800,71940.0,OAXACA,San Juan Lachao,La CiÃ©nega
6492977,20334621112000091000000000U0,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,BENITO JUAREZ,71838.0,OAXACA,Villa de Tututepec de Melchor Ocampo,El Cacalote
6491897,20318622112000061010000000U5,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,20 DE NOVIEMBRE,70839.0,OAXACA,San Pedro Mixtepec -Dto. 22 -,Aguaje del Zapote
3190120,20521813230000011000000000U8,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,HIDALGO,69536.0,OAXACA,Santo Domingo Tonaltepec,Santo Domingo Tonaltepec
8460483,20397621116000011000000000U6,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,LAS MARGARITAS,69800.0,OAXACA,Heroica Ciudad de Tlaxiaco,Heroica Ciudad de Tlaxiaco
3068538,20397622112000021000000000U3,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,EL AHUIZOTE,69800.0,OAXACA,Heroica Ciudad de Tlaxiaco,Heroica Ciudad de Tlaxiaco
6481530,20334621112000051000000000U4,CASA DE SALUD,Consultorios de medicina general del sector público,0 a 5 personas,NINGUNO,71838.0,OAXACA,Villa de Tututepec de Melchor Ocampo,El Venado
6481480,20266622112000101010000000U0,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,NINGUNO,70990.0,OAXACA,San Miguel del Puerto,El Granadillo
6478363,20439622112000091010000000U6,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOCALIDAD 800,71944.0,OAXACA,Santa MarÃ­a Tonameca,Arroyo la Puerta
6501614,20439622112000291011000000U2,CASA DE SALUD,Consultorios de medicina general del sector público,6 a 10 personas,LOCALIDAD 800,70946.0,OAXACA,Santa MarÃ­a Tonameca,Yonguina
6478622,20266622112000041010000000U8,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOCALIDAD 800,70990.0,OAXACA,San Miguel del Puerto,Llano Palacio Dos (Los GonzÃ¡lez)
8043351,20334621116000032000000000U5,CASA DE SALUD,Clínicas de consultorios médicos del sector público,6 a 10 personas,A RIO GRANDE,71730.0,OAXACA,Villa de Tututepec de Melchor Ocampo,Los Llanos del Espinal
6478945,20071622112000031010000000U3,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOCALIDAD 800,70960.0,OAXACA,Pluma Hidalgo,Modelo Alta Luz
6495665,20439621112000181000000000U6,CASA DE SALUD  LA UNIÃN,Consultorios de medicina general del sector público,0 a 5 personas,LOCALIDAD 800,70944.0,OAXACA,Santa MarÃ­a Tonameca,UniÃ³n del Palmar
6501670,20071622112000041010000000U2,CASA DE SALUD  SAN AGUSTÃN,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOCALIDAD 800,70960.0,OAXACA,Pluma Hidalgo,San AgustÃ­n
6474969,20439621112000311000000000U9,CASA DE SALUD  SAN JOSE EL NANCHAL,Consultorios de medicina general del sector público,0 a 5 personas,LOCALIDAD 800,70946.0,OAXACA,Santa MarÃ­a Tonameca,El Nanchal (San JosÃ© el Nanchal)
6518539,20439622112000141010000000U9,CASA DE SALUD AGOSTADERO,Consultorios de medicina general del sector público,0 a 5 personas,NINGUNO,71944.0,OAXACA,Santa MarÃ­a Tonameca,Agostadero
6481829,20413622112000081010000000U2,CASA DE SALUD AGUAJE EL ZAPOTE,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOS ALMENDROS,70980.0,OAXACA,Santa MarÃ­a Huatulco,Aguaje el Zapote
8076541,20324621116000051000000000U6,CASA DE SALUD ARROYO CRUZ,Clínicas de consultorios médicos del sector público,0 a 5 personas,NINGUNO,70902.0,OAXACA,San Pedro Pochutla,Arroyo Cruz
8398641,20413621112000041000000000U7,CASA DE SALUD BAJOS DEL ARENAL,Consultorios de medicina general del sector público,0 a 5 personas,NINGUNO,70980.0,OAXACA,Santa MarÃ­a Huatulco,Bajos del Arenal
6504751,20324622112000141010000000U3,CASA DE SALUD BARRA DE CUATUNALCO,Clínicas de consultorios médicos del sector público,0 a 5 personas,NINGUNO,70902.0,OAXACA,San Pedro Pochutla,Barra de Cuatunalco
8845379,20401621116000051000000000U2,CASA DE SALUD BARRA DE NAVIDAD,Clínicas de consultorios médicos del sector público,0 a 5 personas,NINGUNO,70938.0,OAXACA,Santa MarÃ­a Colotepec,Barra de Navidad
6483743,20439622112000081010000000U7,CASA DE SALUD BARRANCA HONDA,Clínicas de consultorios médicos del sector público,0 a 5 personas,LOCALIDAD 800,70946.0,OAXACA,Santa MarÃ­a Tonameca,Barranca Honda
3094605,20397621112000021000000000U4,CASA DE SALUD BARRIO SAN BARTOLO,Consultorios de medicina general del sector público,0 a 5 personas,AVENIDA A CHALCATONGO,69800.0,OAXACA,Heroica Ciudad de Tlaxiaco,Heroica Ciudad de Tlaxiaco
3250364,20012621112000011000000000U0,CASA DE SALUD BARRIO SAN MARTÃN,Consultorios de medicina general del sector público,0 a 5 personas,NINGUNO,70950.0,OAXACA,Candelaria Loxicha,Candelaria Loxicha
3094623,20397621112000031000000000U3,CASA DE SALUD BARRIO SAN PEDRO,Consultorios de medicina general del sector público,0 a 5 personas,NINGUNO,69800.0,OAXACA,Heroica Ciudad de Tlaxiaco,Heroica Ciudad de Tlaxiaco
3094504,20397621112000012001000000U3,CASA DE SALUD BENITO JUAREZ,Consultorios de medicina general del sector público,0 a 5 personas,CLAUDIO CRUZ,69800.0,OAXACA,Heroica Ciudad de Tlaxiaco,Heroica Ciudad de Tlaxiaco
8042859,20334621116000021000000000U8,CASA DE SALUD CAMPAMENTO CERRO HERMOSO,Clínicas de consultorios médicos del sector público,0 a 5 personas,NINGUNO,71800.0,OAXACA,Villa de Tututepec de Melchor Ocampo,Campamento Cerro Hermoso
6497105,20401621112000151001000000U9,CASA DE SALUD CERRO DE LA OLLA,Consultorios de medicina general del sector público,6 a 10 personas,LOCALIDAD 800,70934.0,OAXACA,Santa MarÃ­a Colotepec,El Corozal
6478711,20401621112000101000000000U4,CASA DE SALUD CERRO DEL CABALLO,Consultorios de medicina general del sector público,0 a 5 personas,LOCALIDAD 800,70934.0,OAXACA,Santa MarÃ­a Colotepec,Cerro del Caballo
