ï»¿id,clee,nom_estab,nombre_act,per_ocu,nom_vial,cod_postal,entidad,municipio,localidad
9331900,27002621111001011000000000U5,"(H) CONSULTORIO CD. VICTORIA, TAMPS.",Consultorios de medicina general del sector privado,0 a 5 personas,,,TABASCO,CÃ¡rdenas,CÃ¡rdenas
4006525,27004621111002751000000000U1,ALERGOLOGO PEDIATRA,Consultorios de medicina general del sector privado,0 a 5 personas,NINGUNO,86109.0,TABASCO,Centro,Villahermosa
8316523,27004621111003381000000000U6,ALFA Y OMEGA MEDICINA INTERNA,Consultorios de medicina general del sector privado,0 a 5 personas,CORONEL GREGORIO MENDEZ MAGAÃA,86050.0,TABASCO,Centro,Villahermosa
7670250,27004621113004101000000000U3,ANGELOGO Y CIRUGIA VASCULAR,Consultorios de medicina especializada del sector privado,0 a 5 personas,NINGUNO,86109.0,TABASCO,Centro,Villahermosa
7632777,27004621113003911000000000U6,APORTAB,Consultorios de medicina especializada del sector privado,0 a 5 personas,PORFIRIO DIAZ,86080.0,TABASCO,Centro,Villahermosa
8783878,27004621111004141000000000U3,AQ1ONSULTORIO MEDICO,Consultorios de medicina general del sector privado,0 a 5 personas,ALFONSO SOSA VERA,86100.0,TABASCO,Centro,Villahermosa
3985829,27014621112000051000000000U5,AREA DE MEDICINA FAMILIAR,Consultorios de medicina general del sector público,0 a 5 personas,MANUEL ANTONIO ROMERO ZURITA,86600.0,TABASCO,ParaÃ­so,ParaÃ­so
8165993,27004621116000071000000000U5,AREA MEDICA,Clínicas de consultorios médicos del sector público,0 a 5 personas,FERNANDO MONTES DE OCA,86050.0,TABASCO,Centro,Villahermosa
7677832,27014621111000471000000000U7,ATENCION MEDICA INTEGRADA,Consultorios de medicina general del sector privado,0 a 5 personas,LICENCIADO BENITO JUAREZ GARCIA,86600.0,TABASCO,ParaÃ­so,ParaÃ­so
3978627,27004621111002581001000000U2,BIOXMEDICAL,Consultorios de medicina general del sector privado,6 a 10 personas,MANUEL MESTRE,86000.0,TABASCO,Centro,Villahermosa
9061108,27004621111004421000000000U9,BOLERO SIN NOMBRE,Consultorios de medicina general del sector privado,0 a 5 personas,NINGUNO,86060.0,TABASCO,Centro,Villahermosa
9286092,27004621111004511000000000U7,BOSTON MEDICAL GROUP,Consultorios de medicina general del sector privado,0 a 5 personas,RETORNO VIA 5,86035.0,TABASCO,Centro,Villahermosa
3969691,27005621111000031000000000U7,BOTICA CONSULTORIO DE MEDICINA GENERAL,Consultorios de medicina general del sector privado,0 a 5 personas,27 DE FEBRERO,86660.0,TABASCO,Comalcalco,Aldama
7639509,27002621116000063000000000U6,CAPASITS CARDENAS,Clínicas de consultorios médicos del sector público,11 a 30 personas,NARANJO,86500.0,TABASCO,CÃ¡rdenas,CÃ¡rdenas
8790305,27005621113000371000000000U3,CARDIOLOGO JOSE GUADALUPE MERCADO GARCIA,Consultorios de medicina especializada del sector privado,0 a 5 personas,IGNACIO ZARAGOZA,86300.0,TABASCO,Comalcalco,Comalcalco
7710037,27004621113003561000000000U9,CARDIOLOGO URGENCIAS CENTRO MEDICO ESPAÃA,Consultorios de medicina especializada del sector privado,0 a 5 personas,PASEO LA CEIBA,86190.0,TABASCO,Centro,Villahermosa
9073057,27002621112000182000000000U3,CASA DE ASISTENCIA A LAMUJER EMBARAZADA DIF,Consultorios de medicina general del sector público,6 a 10 personas,ABRAHAM BANDALA,86500.0,TABASCO,CÃ¡rdenas,CÃ¡rdenas
3969998,27005622112000011010000000U6,CASA DE SALUD,Clínicas de consultorios médicos del sector público,0 a 5 personas,LAS VIAS,86655.0,TABASCO,Comalcalco,Reyes HernÃ¡ndez 2da. SecciÃ³n
